status,age_group,education,industry,location,ai_risk,years_of_experience,monthly_salary_(inr),date_recorded
Employed,35 - 44,Bachelors,Fintech,Bangalore,High,12.0,61500.0,2023-11-24
Employed,35 - 44,Masters,Retail,Suburban,Medium,28.0,56800.0,2023-11-25
Employed,35 - 44,Phd,Healthcare,Suburban,High,7.0,15900.0,2023-11-26
Unemployed,55+,Diploma,Retail,Urban,Moderate,20.0,96600.0,2023-11-27
Unemployed,55+,Diploma,Tech,Delhi,High,16.0,77200.0,2023-11-28
Unemployed,25-34,Ph.D,Healthcare,Bangalore,High,16.0,96100.0,2023-11-29
Employed,35 - 44,Diploma,Retail,Rural,High,16.0,77200.0,2023-11-30
Employed,18-24,Bachelor'S,Finance,Bangalore,High,26.0,72400.0,2023-12-01
Unemployed,55+,Phd,Retail,Delhi,Medium,16.0,143000.0,2023-12-02
Employed,35 - 44,Master,Health,Hyderabad,High,16.0,35700.0,2023-12-03
Employed,18 To 24,Bachelor'S,Retail,Suburban,High,9.0,77200.0,2023-12-04
Unemployed,18-24,Bachelors,Retail,Urban,High,13.0,8700.0,2023-12-05
Employed,25_34,Diploma,Technology,Bangalore,High,22.0,141800.0,2023-12-06
Unemployed,35 - 44,Bachelors,Health,Urban,Low,16.0,21500.0,2023-12-07
Unemployed,35 - 44,High School,Finance,Bangalore,Medium,4.0,126000.0,2023-12-08
Employed,18 To 24,Ph.D,Healthcare,Hyderabad,Medium,16.0,77200.0,2023-12-09
Employed,25-34,Masters,Retail,Bangalore,Medium,16.0,92700.0,2023-12-10
Unemployed,25-34,Phd,Retail,Urban,Moderate,16.0,77200.0,2023-12-11
Unemployed,25_34,Master,Fintech,Delhi,High,16.0,139900.0,2023-12-12
Employed,55+,Ph.D,Retail,Urban,High,16.0,26900.0,2023-12-13
Unemployed,18 To 24,Master,Tech,Mumbai,Low,16.0,77200.0,2023-12-14
Employed,25_34,Bachelor'S,Retail,Urban,High,3.0,5400.0,2023-12-15
Unemployed,55+,High School,Finance,Bangalore,Low,16.0,81100.0,2023-12-16
Unemployed,55+,Bachelors,Education,Mumbai,Medium,16.0,77200.0,2023-12-17
Unemployed,45-54,Bachelors,Retail,Bangalore,High,14.0,139700.0,2023-12-18
Unemployed,45-54,Bachelor'S,Fintech,Suburban,Low,16.0,112900.0,2023-12-19
Employed,55+,Master,Retail,Mumbai,Moderate,30.0,109900.0,2023-12-20
Employed,18 To 24,High School,Finance,Suburban,Medium,16.0,112400.0,2023-12-21
Employed,18 To 24,Bachelors,Retail,Suburban,Moderate,26.0,108300.0,2023-12-22
Employed,18-24,Phd,Education,Delhi,High,16.0,71400.0,2023-12-23
Unemployed,18 To 24,Bachelors,Education,Urban,Moderate,16.0,17600.0,2023-12-24
Unemployed,18 To 24,Masters,Education,Suburban,Low,10.0,51000.0,2023-12-25
Unemployed,25_34,High School,Finance,Delhi,High,16.0,109800.0,2023-12-26
Unemployed,18 To 24,Masters,Finance,Mumbai,High,16.0,111300.0,2023-12-27
Employed,18 To 24,Master,Education,Bangalore,Medium,22.0,92900.0,2023-12-28
Employed,55+,Bachelors,Technology,Urban,High,24.0,28100.0,2023-12-29
Employed,35 - 44,Bachelor'S,Education,Suburban,Low,16.0,100400.0,2023-12-30
Employed,45-54,Phd,Finance,Suburban,High,30.0,77200.0,2023-12-31
Employed,25_34,Bachelors,Retail,Bangalore,Low,16.0,138600.0,2024-01-01
Unemployed,25-34,High School,Healthcare,Hyderabad,Moderate,11.0,77200.0,2024-01-02
Employed,18-24,Bachelors,Healthcare,Delhi,Moderate,30.0,40100.0,2024-01-03
Employed,55+,Bachelor'S,Health,Delhi,Moderate,16.0,104800.0,2024-01-04
Unemployed,35 - 44,Master,Retail,Bangalore,Low,7.0,95700.0,2024-01-05
Employed,18 To 24,High School,Finance,Hyderabad,High,16.0,36700.0,2024-01-06
Employed,18 To 24,High School,Retail,Bangalore,High,28.0,77200.0,2024-01-07
Unemployed,45-54,Ph.D,Education,Suburban,High,13.0,77200.0,2024-01-08
Unemployed,45-54,Diploma,Healthcare,Hyderabad,High,16.0,116000.0,2024-01-09
Unemployed,45-54,Master,Education,Rural,Moderate,2.0,29300.0,2024-01-10
Unemployed,18 To 24,High School,Retail,Bangalore,High,16.0,24700.0,2024-01-11
Employed,55+,Phd,Retail,Mumbai,Low,16.0,36200.0,2024-01-12
Unemployed,25_34,Masters,Education,Delhi,Medium,10.0,17800.0,2024-01-13
Unemployed,18-24,Master,Health,Urban,Medium,11.0,52900.0,2024-01-14
Unemployed,35 - 44,Masters,Retail,Bangalore,Low,16.0,141000.0,2024-01-15
Unemployed,45-54,High School,Retail,Rural,High,16.0,90300.0,2024-01-16
Employed,25-34,Bachelors,Finance,Urban,High,30.0,139000.0,2024-01-17
Employed,35 - 44,Bachelors,Technology,Bangalore,High,16.0,63200.0,2024-01-18
Unemployed,18 To 24,Ph.D,Tech,Urban,Moderate,16.0,94400.0,2024-01-19
Unemployed,35 - 44,Ph.D,Technology,Delhi,Low,0.0,34800.0,2024-01-20
Employed,25_34,Master,Finance,Rural,High,16.0,61200.0,2024-01-21
Employed,35 - 44,Bachelors,Health,Rural,High,29.0,138400.0,2024-01-22
Employed,18-24,High School,Technology,Urban,Medium,16.0,97300.0,2024-01-23
Unemployed,18-24,High School,Healthcare,Mumbai,Moderate,29.0,64300.0,2024-01-24
Employed,25_34,Bachelor'S,Retail,Bangalore,Moderate,16.0,59100.0,2024-01-25
Unemployed,18 To 24,Masters,Retail,Suburban,High,19.0,92700.0,2024-01-26
Unemployed,25_34,Masters,Retail,Urban,Moderate,24.0,64900.0,2024-01-27
Unemployed,18 To 24,Masters,Tech,Delhi,High,16.0,45800.0,2024-01-28
Employed,25-34,Masters,Retail,Urban,High,26.0,120000.0,2024-01-29
Employed,35 - 44,Bachelors,Tech,Mumbai,High,11.0,134400.0,2024-01-30
Unemployed,25_34,Bachelor'S,Education,Bangalore,Low,1.0,106500.0,2024-01-31
Unemployed,55+,Master,Retail,Bangalore,High,16.0,140000.0,2024-02-01
Employed,18 To 24,Masters,Retail,Urban,Low,16.0,77200.0,2024-02-02
Employed,18-24,Master,Education,Delhi,Medium,16.0,77200.0,2024-02-03
Employed,45-54,Bachelor'S,Education,Hyderabad,Low,16.0,86300.0,2024-02-04
Unemployed,35 - 44,Phd,Retail,Suburban,Moderate,16.0,39500.0,2024-02-05
Unemployed,25_34,Bachelors,Retail,Delhi,Medium,16.0,71000.0,2024-02-06
Unemployed,18 To 24,Bachelors,Health,Bangalore,Low,29.0,77200.0,2024-02-07
Employed,18 To 24,Master,Healthcare,Delhi,Moderate,16.0,131000.0,2024-02-08
Employed,18-24,Ph.D,Education,Mumbai,High,16.0,42600.0,2024-02-09
Employed,18 To 24,Bachelor'S,Technology,Mumbai,High,10.0,86700.0,2024-02-10
Unemployed,18 To 24,Bachelor'S,Education,Urban,High,16.0,77200.0,2024-02-11
Employed,25_34,Masters,Retail,Rural,Moderate,16.0,21500.0,2024-02-12
Unemployed,18 To 24,Diploma,Retail,Rural,Low,15.0,100400.0,2024-02-13
Employed,45-54,Master,Technology,Mumbai,High,16.0,77200.0,2024-02-14
Employed,45-54,Ph.D,Retail,Rural,High,15.0,111300.0,2024-02-15
Employed,45-54,High School,Fintech,Rural,High,16.0,77200.0,2024-02-16
Employed,18 To 24,Masters,Finance,Urban,High,23.0,100900.0,2024-02-17
Employed,25_34,Bachelors,Education,Delhi,High,16.0,36600.0,2024-02-18
Unemployed,18-24,Ph.D,Retail,Suburban,High,5.0,46300.0,2024-02-19
Employed,25_34,Ph.D,Tech,Suburban,Medium,19.0,77200.0,2024-02-20
Unemployed,25_34,Phd,Tech,Urban,Medium,16.0,77200.0,2024-02-21
Employed,18 To 24,Masters,Tech,Rural,Low,16.0,115600.0,2024-02-22
Unemployed,45-54,Phd,Retail,Bangalore,Low,16.0,77200.0,2024-02-23
Unemployed,18 To 24,High School,Healthcare,Suburban,Moderate,30.0,8600.0,2024-02-24
Employed,35 - 44,High School,Education,Bangalore,High,16.0,117600.0,2024-02-25
Employed,35 - 44,High School,Finance,Bangalore,Low,16.0,12400.0,2024-02-26
Employed,45-54,Bachelors,Education,Hyderabad,High,5.0,119200.0,2024-02-27
Unemployed,18 To 24,Master,Tech,Hyderabad,High,16.0,109300.0,2024-02-28
Employed,45-54,Master,Retail,Hyderabad,Moderate,16.0,84700.0,2024-02-29
Employed,18-24,Bachelors,Fintech,Urban,Low,16.0,9100.0,2024-03-01
Employed,18 To 24,Bachelors,Education,Urban,High,9.0,88800.0,2024-03-02
Unemployed,25-34,Bachelor'S,Tech,Hyderabad,Moderate,2.0,16000.0,2024-03-03
Employed,25-34,High School,Retail,Bangalore,Low,16.0,58000.0,2024-03-04
Unemployed,18 To 24,Master,Education,Suburban,Low,6.0,18300.0,2024-03-05
Unemployed,55+,Bachelor'S,Tech,Rural,Medium,16.0,77200.0,2024-03-06
Unemployed,18 To 24,Bachelor'S,Healthcare,Suburban,High,16.0,77200.0,2024-03-07
Employed,18 To 24,High School,Fintech,Bangalore,High,16.0,77200.0,2024-03-08
Unemployed,18-24,High School,Education,Hyderabad,Low,20.0,14700.0,2024-03-09
Employed,18 To 24,High School,Retail,Bangalore,Low,21.0,77200.0,2024-03-10
Employed,18 To 24,High School,Healthcare,Urban,Medium,16.0,117800.0,2024-03-11
Unemployed,55+,Masters,Fintech,Bangalore,Moderate,16.0,50800.0,2024-03-12
Unemployed,55+,Diploma,Health,Delhi,High,4.0,73300.0,2024-03-13
Employed,25_34,Master,Health,Bangalore,Low,16.0,17700.0,2024-03-14
Unemployed,25_34,Masters,Fintech,Urban,Moderate,3.0,77200.0,2024-03-15
Employed,45-54,Bachelors,Retail,Hyderabad,High,23.0,120500.0,2024-03-16
Employed,25-34,Phd,Fintech,Urban,Low,16.0,15000.0,2024-03-17
Employed,18 To 24,Master,Technology,Mumbai,Low,14.0,21300.0,2024-03-18
Unemployed,45-54,Bachelors,Retail,Delhi,Low,16.0,116000.0,2024-03-19
Employed,18 To 24,Masters,Technology,Suburban,Low,16.0,77200.0,2024-03-20
Unemployed,18-24,Bachelors,Finance,Rural,High,7.0,121300.0,2024-03-21
Employed,18 To 24,Diploma,Retail,Delhi,Medium,3.0,103300.0,2024-03-22
Employed,25-34,Phd,Technology,Urban,High,29.0,90500.0,2024-03-23
Employed,45-54,High School,Healthcare,Mumbai,High,4.0,131700.0,2024-03-24
Employed,25_34,High School,Retail,Bangalore,Medium,16.0,20600.0,2024-03-25
Employed,25_34,Bachelor'S,Health,Mumbai,High,16.0,135400.0,2024-03-26
Unemployed,25_34,Phd,Retail,Urban,High,16.0,47700.0,2024-03-27
Employed,18 To 24,High School,Tech,Bangalore,High,19.0,130300.0,2024-03-28
Employed,25-34,High School,Health,Urban,High,29.0,144500.0,2024-03-29
Unemployed,18 To 24,High School,Retail,Mumbai,Moderate,16.0,106600.0,2024-03-30
Employed,18 To 24,Bachelors,Finance,Delhi,High,30.0,75200.0,2024-03-31
Unemployed,35 - 44,Masters,Tech,Suburban,High,16.0,5100.0,2024-04-01
Employed,35 - 44,Phd,Health,Hyderabad,Low,7.0,145100.0,2024-04-02
Employed,25_34,High School,Healthcare,Bangalore,Moderate,16.0,57500.0,2024-04-03
Employed,25_34,Master,Fintech,Urban,High,16.0,74500.0,2024-04-04
Unemployed,55+,Master,Fintech,Suburban,High,16.0,105900.0,2024-04-05
Employed,18 To 24,Diploma,Tech,Mumbai,High,17.0,28200.0,2024-04-06
Unemployed,45-54,Phd,Technology,Delhi,Medium,16.0,84500.0,2024-04-07
Unemployed,55+,High School,Healthcare,Bangalore,High,16.0,147100.0,2024-04-08
Employed,25-34,Bachelor'S,Tech,Suburban,High,17.0,10500.0,2024-04-09
Employed,45-54,Bachelors,Finance,Urban,Low,16.0,86900.0,2024-04-10
Unemployed,25-34,Bachelor'S,Fintech,Hyderabad,Low,16.0,105200.0,2024-04-11
Employed,35 - 44,Bachelors,Technology,Urban,High,16.0,77200.0,2024-04-12
Employed,55+,Ph.D,Health,Urban,Moderate,16.0,134500.0,2024-04-13
Employed,35 - 44,Bachelors,Education,Rural,High,16.0,147200.0,2024-04-14
Unemployed,35 - 44,Phd,Retail,Bangalore,Low,16.0,81500.0,2024-04-15
Employed,55+,Bachelor'S,Tech,Mumbai,Moderate,5.0,16200.0,2024-04-16
Employed,35 - 44,High School,Technology,Bangalore,Moderate,20.0,136000.0,2024-04-17
Employed,18 To 24,High School,Fintech,Delhi,High,16.0,77200.0,2024-04-18
Unemployed,18-24,Bachelors,Retail,Bangalore,High,16.0,29800.0,2024-04-19
Unemployed,25_34,Diploma,Retail,Bangalore,High,5.0,77200.0,2024-04-20
Employed,55+,Ph.D,Retail,Hyderabad,Moderate,22.0,115100.0,2024-04-21
Employed,45-54,Bachelors,Health,Suburban,Moderate,0.0,75100.0,2024-04-22
Employed,25_34,Bachelor'S,Health,Urban,High,17.0,98200.0,2024-04-23
Unemployed,55+,Ph.D,Retail,Suburban,High,18.0,86000.0,2024-04-24
Employed,45-54,Bachelor'S,Education,Bangalore,High,6.0,29900.0,2024-04-25
Employed,25-34,Bachelors,Health,Bangalore,Low,1.0,114500.0,2024-04-26
Unemployed,45-54,Phd,Technology,Urban,Moderate,25.0,77200.0,2024-04-27
Unemployed,35 - 44,Bachelors,Technology,Bangalore,Moderate,16.0,67500.0,2024-04-28
Unemployed,18 To 24,Diploma,Finance,Bangalore,High,16.0,149000.0,2024-04-29
Employed,18-24,Ph.D,Health,Urban,High,26.0,6800.0,2024-04-30
Employed,25-34,Bachelor'S,Fintech,Bangalore,High,26.0,64900.0,2024-05-01
Unemployed,18 To 24,Bachelors,Retail,Urban,High,7.0,146300.0,2024-05-02
Unemployed,35 - 44,Bachelors,Healthcare,Suburban,Moderate,16.0,55600.0,2024-05-03
Employed,18-24,Diploma,Finance,Urban,Low,16.0,77200.0,2024-05-04
Employed,18 To 24,Diploma,Retail,Bangalore,High,16.0,77200.0,2024-05-05
Employed,18 To 24,Bachelors,Finance,Mumbai,Low,29.0,51100.0,2024-05-06
Unemployed,35 - 44,Masters,Retail,Urban,High,16.0,11000.0,2024-05-07
Employed,55+,Phd,Tech,Urban,Medium,19.0,62800.0,2024-05-08
Unemployed,18 To 24,Bachelors,Health,Delhi,Medium,16.0,77200.0,2024-05-09
Employed,18-24,Bachelor'S,Technology,Urban,High,26.0,46000.0,2024-05-10
Employed,18-24,Masters,Education,Urban,Moderate,24.0,77200.0,2024-05-11
Employed,55+,Masters,Tech,Mumbai,Moderate,0.0,105500.0,2024-05-12
Employed,18 To 24,Bachelor'S,Finance,Suburban,High,16.0,62600.0,2024-05-13
Employed,25_34,High School,Retail,Urban,High,16.0,60200.0,2024-05-14
Unemployed,55+,Bachelors,Retail,Suburban,Low,5.0,87200.0,2024-05-15
Employed,35 - 44,Phd,Retail,Mumbai,High,16.0,118000.0,2024-05-16
Unemployed,18 To 24,Ph.D,Healthcare,Urban,High,16.0,77200.0,2024-05-17
Employed,55+,Diploma,Education,Urban,Low,5.0,17400.0,2024-05-18
Employed,25-34,Ph.D,Fintech,Urban,High,27.0,77200.0,2024-05-19
Employed,25_34,Ph.D,Health,Hyderabad,Medium,10.0,77200.0,2024-05-20
Employed,25-34,Ph.D,Healthcare,Mumbai,High,11.0,137600.0,2024-05-21
Employed,18 To 24,Ph.D,Health,Rural,Low,14.0,77200.0,2024-05-22
Employed,18-24,Bachelors,Health,Rural,High,16.0,68800.0,2024-05-23
Employed,18 To 24,Bachelors,Retail,Urban,High,16.0,107000.0,2024-05-24
Employed,45-54,High School,Retail,Urban,Low,7.0,63500.0,2024-05-25
Unemployed,18 To 24,High School,Retail,Bangalore,Low,0.0,47400.0,2024-05-26
Employed,18 To 24,Bachelor'S,Fintech,Urban,Medium,3.0,99800.0,2024-05-27
Employed,35 - 44,Masters,Technology,Suburban,Medium,23.0,34900.0,2024-05-28
Employed,35 - 44,Ph.D,Fintech,Bangalore,Medium,16.0,82800.0,2024-05-29
Employed,18 To 24,Ph.D,Technology,Mumbai,High,27.0,107800.0,2024-05-30
Unemployed,18-24,Bachelor'S,Education,Urban,Low,16.0,54500.0,2024-05-31
Employed,18-24,Ph.D,Retail,Urban,Moderate,16.0,47100.0,2024-06-01
Employed,18 To 24,Diploma,Retail,Urban,Low,1.0,15000.0,2024-06-02
Employed,18 To 24,Diploma,Retail,Delhi,Low,16.0,94500.0,2024-06-03
Unemployed,18 To 24,Ph.D,Tech,Bangalore,High,16.0,27200.0,2024-06-04
Unemployed,18 To 24,Master,Retail,Suburban,Low,18.0,100400.0,2024-06-05
Unemployed,18 To 24,Phd,Tech,Suburban,High,5.0,34100.0,2024-06-06
Unemployed,55+,Bachelors,Retail,Mumbai,Medium,16.0,77200.0,2024-06-07
Unemployed,45-54,High School,Education,Bangalore,Moderate,16.0,8000.0,2024-06-08
Employed,45-54,Bachelors,Technology,Suburban,Low,16.0,77200.0,2024-06-09
Unemployed,35 - 44,Ph.D,Technology,Hyderabad,Low,16.0,130500.0,2024-06-10
Unemployed,35 - 44,Masters,Fintech,Urban,Low,16.0,122900.0,2024-06-11
Unemployed,55+,Bachelor'S,Healthcare,Mumbai,High,4.0,93400.0,2024-06-12
Employed,35 - 44,Bachelors,Retail,Urban,Medium,21.0,77700.0,2024-06-13
Unemployed,45-54,Masters,Tech,Hyderabad,Low,16.0,52400.0,2024-06-14
Employed,18 To 24,Bachelors,Fintech,Rural,Low,27.0,77200.0,2024-06-15
Unemployed,18 To 24,High School,Tech,Hyderabad,Moderate,13.0,37300.0,2024-06-16
Unemployed,55+,Masters,Education,Urban,High,19.0,96700.0,2024-06-17
Employed,55+,Bachelor'S,Retail,Urban,High,16.0,8200.0,2024-06-18
Employed,18 To 24,Phd,Health,Urban,Low,16.0,77200.0,2024-06-19
Unemployed,55+,Bachelors,Fintech,Urban,High,11.0,72100.0,2024-06-20
Employed,55+,Bachelors,Technology,Bangalore,Moderate,16.0,9800.0,2024-06-21
Unemployed,25_34,Diploma,Education,Bangalore,High,16.0,24600.0,2024-06-22
Unemployed,55+,Diploma,Education,Bangalore,High,16.0,133700.0,2024-06-23
Employed,18 To 24,High School,Retail,Bangalore,Moderate,16.0,21400.0,2024-06-24
Employed,18-24,Phd,Retail,Delhi,Medium,0.0,138700.0,2024-06-25
Employed,45-54,Bachelors,Fintech,Mumbai,High,16.0,125500.0,2024-06-26
Employed,18 To 24,High School,Education,Rural,Medium,16.0,87400.0,2024-06-27
Unemployed,18-24,Masters,Healthcare,Hyderabad,Low,13.0,133300.0,2024-06-28
Employed,45-54,Bachelor'S,Fintech,Mumbai,High,28.0,24100.0,2024-06-29
Employed,25-34,Bachelors,Finance,Suburban,Moderate,25.0,64600.0,2024-06-30
Employed,25-34,Bachelors,Tech,Urban,Low,23.0,108700.0,2024-07-01
Employed,18 To 24,Master,Fintech,Bangalore,Moderate,16.0,38500.0,2024-07-02
Employed,55+,Bachelor'S,Tech,Delhi,Medium,28.0,40400.0,2024-07-03
Unemployed,18 To 24,Bachelor'S,Health,Bangalore,Low,20.0,17200.0,2024-07-04
Unemployed,18 To 24,High School,Finance,Bangalore,Medium,16.0,132900.0,2024-07-05
Unemployed,35 - 44,Diploma,Education,Rural,High,13.0,102800.0,2024-07-06
Employed,55+,Bachelors,Finance,Hyderabad,High,25.0,95600.0,2024-07-07
Unemployed,25-34,Bachelors,Finance,Rural,Moderate,16.0,69500.0,2024-07-08
Employed,45-54,Bachelors,Health,Urban,Moderate,10.0,86000.0,2024-07-09
Employed,18-24,Masters,Healthcare,Urban,High,3.0,140800.0,2024-07-10
Unemployed,55+,High School,Technology,Hyderabad,High,16.0,84700.0,2024-07-11
Unemployed,25-34,Ph.D,Finance,Bangalore,High,16.0,56600.0,2024-07-12
Employed,35 - 44,Bachelors,Retail,Delhi,High,22.0,66700.0,2024-07-13
Unemployed,55+,Masters,Finance,Bangalore,Medium,16.0,96400.0,2024-07-14
Employed,18 To 24,Bachelors,Retail,Rural,High,0.0,101400.0,2024-07-15
Employed,18 To 24,Bachelors,Fintech,Bangalore,High,21.0,37300.0,2024-07-16
Unemployed,35 - 44,Phd,Retail,Bangalore,High,16.0,124400.0,2024-07-17
Unemployed,18-24,Bachelors,Technology,Bangalore,High,16.0,128000.0,2024-07-18
Unemployed,45-54,Diploma,Retail,Rural,Low,16.0,77200.0,2024-07-19
Employed,18-24,Master,Health,Hyderabad,Medium,16.0,34700.0,2024-07-20
Unemployed,45-54,High School,Tech,Urban,Moderate,16.0,34700.0,2024-07-21
Unemployed,45-54,Bachelors,Technology,Delhi,Low,7.0,77200.0,2024-07-22
Unemployed,45-54,High School,Health,Hyderabad,Low,3.0,77200.0,2024-07-23
Unemployed,18-24,Bachelor'S,Health,Urban,Low,16.0,117800.0,2024-07-24
Employed,25-34,Phd,Retail,Urban,Medium,16.0,69500.0,2024-07-25
Employed,18-24,Ph.D,Retail,Mumbai,Moderate,18.0,148400.0,2024-07-26
Unemployed,25_34,Phd,Retail,Urban,Low,16.0,77200.0,2024-07-27
Employed,25_34,High School,Retail,Rural,High,16.0,61600.0,2024-07-28
Unemployed,18 To 24,Phd,Education,Bangalore,Low,16.0,83100.0,2024-07-29
Employed,55+,Masters,Education,Mumbai,Low,16.0,77200.0,2024-07-30
Unemployed,25-34,Bachelor'S,Fintech,Rural,Moderate,23.0,140600.0,2024-07-31
Employed,18 To 24,Bachelors,Education,Hyderabad,Low,28.0,77200.0,2024-08-01
Unemployed,25_34,Masters,Retail,Urban,Low,13.0,57100.0,2024-08-02
Employed,55+,Master,Retail,Suburban,High,4.0,97800.0,2024-08-03
Employed,18-24,Phd,Retail,Hyderabad,Moderate,0.0,86600.0,2024-08-04
Employed,45-54,Bachelors,Health,Hyderabad,Low,16.0,77200.0,2024-08-05
Unemployed,25-34,Phd,Health,Urban,High,16.0,77200.0,2024-08-06
Employed,18 To 24,Masters,Health,Urban,Low,27.0,103400.0,2024-08-07
Unemployed,55+,Bachelors,Retail,Hyderabad,High,10.0,88800.0,2024-08-08
Employed,45-54,Bachelors,Education,Urban,Low,29.0,133800.0,2024-08-09
Employed,25_34,Bachelors,Health,Urban,High,16.0,36200.0,2024-08-10
Unemployed,18 To 24,High School,Fintech,Mumbai,Low,16.0,77200.0,2024-08-11
Employed,18 To 24,Masters,Finance,Urban,Medium,16.0,103800.0,2024-08-12
Unemployed,18 To 24,High School,Health,Rural,Low,1.0,109300.0,2024-08-13
Unemployed,25_34,Master,Technology,Hyderabad,High,28.0,73000.0,2024-08-14
Unemployed,18-24,Master,Healthcare,Suburban,High,16.0,102400.0,2024-08-15
Unemployed,45-54,Master,Health,Delhi,Low,16.0,140300.0,2024-08-16
Employed,35 - 44,High School,Health,Urban,High,16.0,32800.0,2024-08-17
Employed,45-54,Bachelors,Healthcare,Delhi,Medium,16.0,132400.0,2024-08-18
Employed,55+,Phd,Retail,Hyderabad,High,16.0,15200.0,2024-08-19
Unemployed,45-54,Bachelors,Retail,Urban,High,16.0,60600.0,2024-08-20
Unemployed,45-54,Diploma,Retail,Urban,High,19.0,70900.0,2024-08-21
Employed,25_34,Masters,Healthcare,Hyderabad,Low,11.0,132100.0,2024-08-22
Employed,45-54,High School,Finance,Bangalore,Moderate,16.0,146900.0,2024-08-23
Unemployed,35 - 44,Masters,Healthcare,Delhi,Low,18.0,74600.0,2024-08-24
Employed,18 To 24,Diploma,Fintech,Delhi,High,16.0,145600.0,2024-08-25
Employed,18 To 24,Diploma,Technology,Delhi,High,16.0,77200.0,2024-08-26
Unemployed,35 - 44,Phd,Tech,Hyderabad,Low,29.0,30700.0,2024-08-27
Employed,45-54,Phd,Tech,Suburban,High,15.0,77200.0,2024-08-28
Employed,55+,Phd,Technology,Suburban,High,16.0,11200.0,2024-08-29
Unemployed,18 To 24,Masters,Retail,Bangalore,Medium,16.0,18100.0,2024-08-30
Employed,18 To 24,High School,Education,Urban,High,16.0,43100.0,2024-08-31
Unemployed,45-54,Phd,Technology,Urban,Medium,16.0,62600.0,2024-09-01
Unemployed,25-34,Master,Retail,Rural,High,19.0,137500.0,2024-09-02
Employed,18 To 24,Bachelors,Healthcare,Suburban,Medium,7.0,87900.0,2024-09-03
Employed,18 To 24,Bachelors,Retail,Rural,High,28.0,77200.0,2024-09-04
Employed,25_34,High School,Fintech,Rural,Medium,16.0,77200.0,2024-09-05
Employed,25_34,Ph.D,Retail,Suburban,Low,16.0,118800.0,2024-09-06
Unemployed,25-34,High School,Education,Bangalore,High,21.0,144100.0,2024-09-07
Employed,18 To 24,Bachelor'S,Health,Mumbai,Low,9.0,77200.0,2024-09-08
Unemployed,18 To 24,Bachelors,Technology,Suburban,Moderate,22.0,49500.0,2024-09-09
Unemployed,25-34,Diploma,Health,Bangalore,Low,29.0,117500.0,2024-09-10
Unemployed,18-24,High School,Technology,Delhi,High,16.0,109800.0,2024-09-11
Employed,18 To 24,Bachelors,Finance,Urban,High,16.0,65500.0,2024-09-12
Employed,45-54,Phd,Technology,Urban,Low,14.0,30000.0,2024-09-13
Employed,18 To 24,Masters,Education,Rural,Medium,16.0,62100.0,2024-09-14
Employed,25-34,Master,Retail,Urban,Low,14.0,104400.0,2024-09-15
Unemployed,18 To 24,Phd,Education,Delhi,Low,16.0,116100.0,2024-09-16
Employed,18 To 24,High School,Tech,Hyderabad,High,16.0,58700.0,2024-09-17
Unemployed,18 To 24,Master,Tech,Bangalore,Moderate,16.0,19000.0,2024-09-18
Employed,18-24,Diploma,Retail,Urban,Low,14.0,143200.0,2024-09-19
Employed,25-34,Bachelors,Retail,Bangalore,Low,16.0,10100.0,2024-09-20
Employed,35 - 44,Bachelor'S,Health,Hyderabad,Medium,22.0,147100.0,2024-09-21
Employed,45-54,Bachelors,Healthcare,Delhi,High,16.0,77200.0,2024-09-22
Employed,25_34,Bachelors,Tech,Hyderabad,High,16.0,87800.0,2024-09-23
Employed,55+,High School,Tech,Rural,Low,16.0,75000.0,2024-09-24
Unemployed,25-34,Bachelor'S,Fintech,Bangalore,Medium,14.0,51800.0,2024-09-25
Employed,18 To 24,Bachelors,Education,Bangalore,Moderate,16.0,77200.0,2024-09-26
Employed,18 To 24,High School,Tech,Hyderabad,High,16.0,96300.0,2024-09-27
Unemployed,35 - 44,Phd,Retail,Delhi,High,16.0,64500.0,2024-09-28
Unemployed,55+,High School,Tech,Delhi,High,9.0,77200.0,2024-09-29
Employed,18-24,Masters,Retail,Urban,Medium,17.0,77200.0,2024-09-30
Employed,18 To 24,Bachelors,Health,Suburban,High,15.0,30100.0,2024-10-01
Unemployed,45-54,Ph.D,Tech,Suburban,Low,16.0,101500.0,2024-10-02
Unemployed,25-34,High School,Retail,Hyderabad,Medium,18.0,86300.0,2024-10-03
Employed,55+,High School,Finance,Bangalore,High,16.0,77200.0,2024-10-04
Unemployed,18 To 24,Master,Finance,Hyderabad,High,16.0,90400.0,2024-10-05
Unemployed,35 - 44,Bachelor'S,Tech,Mumbai,Low,16.0,118500.0,2024-10-06
Employed,18 To 24,Bachelors,Education,Delhi,High,2.0,23900.0,2024-10-07
Unemployed,25_34,Diploma,Retail,Mumbai,Low,10.0,77200.0,2024-10-08
Employed,18-24,Bachelors,Healthcare,Bangalore,Moderate,23.0,113800.0,2024-10-09
Unemployed,55+,Master,Technology,Delhi,Low,8.0,132700.0,2024-10-10
Employed,25-34,Masters,Tech,Bangalore,High,2.0,26800.0,2024-10-11
Unemployed,18-24,Masters,Retail,Rural,Moderate,10.0,52200.0,2024-10-12
Employed,35 - 44,High School,Healthcare,Mumbai,High,16.0,55000.0,2024-10-13
Unemployed,18 To 24,Masters,Tech,Delhi,High,30.0,99500.0,2024-10-14
Employed,45-54,Master,Tech,Bangalore,High,16.0,104400.0,2024-10-15
